rgs,pr,m,js,jjmmaa,hhmm,Vitesse,To,Qualite,Q,A,Code
709#M7i,264,687,Ve,01/01/2016,00:00,98.0,2.0, ,487.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,01:00,95.0,2.0, ,592.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,02:00,95.0,3.0, ,882.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,03:00,97.0,3.0, ,962.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,04:00,96.0,3.0, ,897.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,05:00,97.0,3.0, ,753.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,06:00,94.0,2.0, ,569.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,07:00,95.0,1.0, ,434.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,08:00,95.0,1.0, ,450.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,09:00,96.0,2.0, ,536.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,10:00,94.0,3.0, ,759.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,11:00,96.0,4.0, ,1060.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,12:00,96.0,7.0, ,1683.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,13:00,98.0,7.0, ,1675.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,14:00,97.0,5.0, ,1414.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,15:00,96.0,7.0, ,1758.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,16:00,96.0,8.0, ,1918.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,17:00,94.0,9.0, ,2195.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,18:00,93.0,10.0, ,2383.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,19:00,91.0,9.0, ,2179.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,20:00,92.0,7.0, ,1613.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,21:00,94.0,4.0, ,953.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,22:00,93.0,4.0, ,947.0,709,M7i
709#M7i,264,687,Ve,01/01/2016,23:00,93.0,3.0, ,774.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,00:00,95.0,2.0, ,641.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,01:00,99.0,1.0, ,382.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,05:00,93.0,1.0, ,338.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,06:00,91.0,3.0, ,565.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,07:00,90.0,3.0, ,656.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,08:00,85.0,5.0, ,1043.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,09:00,91.0,7.0, ,1399.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,10:00,91.0,9.0, ,1912.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,11:00,90.0,12.0, ,2567.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,12:00,90.0,14.0, ,2952.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,13:00,91.0,12.0, ,2625.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,14:00,91.0,11.0, ,2425.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,15:00,88.0,13.0, ,2938.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,16:00,86.0,16.0, ,3291.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,17:00,86.0,15.0, ,3142.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,18:00,89.0,14.0, ,3050.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,19:00,91.0,12.0, ,2666.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,20:00,93.0,9.0, ,2139.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,21:00,96.0,6.0, ,1441.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,22:00,97.0,3.0, ,869.0,709,M7i
709#M7i,264,687,Sa,02/01/2016,23:00,98.0,3.0, ,761.0,709,M7i
709#M7i,264,687,Di,03/01/2016,00:00,100.0,2.0, ,711.0,709,M7i
709#M7i,264,687,Di,03/01/2016,01:00,100.0,2.0, ,666.0,709,M7i
709#M7i,264,687,Di,03/01/2016,02:00,100.0,1.0, ,441.0,709,M7i
709#M7i,264,687,Di,03/01/2016,03:00,99.0,1.0, ,306.0,709,M7i
709#M7i,264,687,Di,03/01/2016,05:00,95.0,1.0, ,311.0,709,M7i
709#M7i,264,687,Di,03/01/2016,06:00,95.0,1.0, ,367.0,709,M7i
709#M7i,264,687,Di,03/01/2016,07:00,95.0,2.0, ,531.0,709,M7i
709#M7i,264,687,Di,03/01/2016,08:00,94.0,3.0, ,716.0,709,M7i
709#M7i,264,687,Di,03/01/2016,09:00,95.0,6.0, ,1365.0,709,M7i
709#M7i,264,687,Di,03/01/2016,10:00,95.0,6.0, ,1427.0,709,M7i
709#M7i,264,687,Di,03/01/2016,11:00,96.0,7.0, ,1880.0,709,M7i
709#M7i,264,687,Di,03/01/2016,12:00,95.0,9.0, ,2152.0,709,M7i
709#M7i,264,687,Di,03/01/2016,13:00,95.0,8.0, ,2053.0,709,M7i
709#M7i,264,687,Di,03/01/2016,14:00,96.0,8.0, ,2104.0,709,M7i
709#M7i,264,687,Di,03/01/2016,15:00,94.0,11.0, ,2588.0,709,M7i
709#M7i,264,687,Di,03/01/2016,16:00,93.0,12.0, ,2858.0,709,M7i
709#M7i,264,687,Di,03/01/2016,17:00,95.0,11.0, ,2770.0,709,M7i
709#M7i,264,687,Di,03/01/2016,18:00,91.0,14.0, ,3121.0,709,M7i
709#M7i,264,687,Di,03/01/2016,19:00,91.0,12.0, ,2805.0,709,M7i
709#M7i,264,687,Di,03/01/2016,20:00,94.0,8.0, ,1974.0,709,M7i
709#M7i,264,687,Di,03/01/2016,21:00,96.0,5.0, ,1238.0,709,M7i
709#M7i,264,687,Di,03/01/2016,22:00,97.0,4.0, ,959.0,709,M7i
709#M7i,264,687,Di,03/01/2016,23:00,97.0,2.0, ,583.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,00:00,96.0,1.0, ,407.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,01:00,97.0,1.0, ,280.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,04:00,96.0,1.0, ,248.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,05:00,94.0,2.0, ,512.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,06:00,93.0,6.0, ,1252.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,07:00,77.0,19.0, ,2738.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,08:00,56.0,43.0, ,3952.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,09:00,57.0,42.0, ,3788.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,10:00,72.0,27.0, ,3058.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,11:00,87.0,17.0, ,2876.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,12:00,88.0,17.0, ,2925.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,13:00,88.0,16.0, ,2999.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,14:00,83.0,19.0, ,3014.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,15:00,85.0,19.0, ,3216.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,16:00,87.0,18.0, ,3276.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,17:00,87.0,22.0, ,4155.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,18:00,83.0,24.0, ,4353.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,19:00,87.0,17.0, ,3415.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,20:00,92.0,10.0, ,2245.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,21:00,95.0,5.0, ,1278.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,22:00,93.0,3.0, ,776.0,709,M7i
709#M7i,264,687,Lu,04/01/2016,23:00,93.0,2.0, ,567.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,00:00,93.0,2.0, ,410.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,01:00,96.0,1.0, ,297.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,04:00,96.0,1.0, ,247.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,05:00,95.0,2.0, ,500.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,06:00,91.0,7.0, ,1263.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,07:00,81.0,16.0, ,2661.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,08:00,54.0,46.0, ,3890.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,09:00,54.0,47.0, ,3678.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,10:00,68.0,32.0, ,3310.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,11:00,85.0,17.0, ,2908.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,12:00,89.0,18.0, ,3081.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,13:00,91.0,16.0, ,2986.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,14:00,88.0,17.0, ,3149.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,15:00,86.0,19.0, ,3228.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,16:00,87.0,19.0, ,3433.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,17:00,87.0,23.0, ,4259.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,18:00,83.0,24.0, ,4346.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,19:00,89.0,18.0, ,3638.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,20:00,94.0,11.0, ,2427.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,21:00,96.0,6.0, ,1359.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,22:00,97.0,4.0, ,880.0,709,M7i
709#M7i,264,687,Ma,05/01/2016,23:00,95.0,2.0, ,622.0,709,M7i
709#M7i,264,687,Me,06/01/2016,00:00,100.0,2.0, ,516.0,709,M7i
709#M7i,264,687,Me,06/01/2016,01:00,100.0,1.0, ,304.0,709,M7i
709#M7i,264,687,Me,06/01/2016,04:00,98.0,1.0, ,266.0,709,M7i
709#M7i,264,687,Me,06/01/2016,05:00,96.0,2.0, ,529.0,709,M7i
709#M7i,264,687,Me,06/01/2016,06:00,94.0,6.0, ,1233.0,709,M7i
709#M7i,264,687,Me,06/01/2016,07:00,83.0,16.0, ,2738.0,709,M7i
709#M7i,264,687,Me,06/01/2016,08:00,56.0,46.0, ,4174.0,709,M7i
709#M7i,264,687,Me,06/01/2016,09:00,56.0,47.0, ,3913.0,709,M7i
709#M7i,264,687,Me,06/01/2016,10:00,69.0,29.0, ,3058.0,709,M7i
709#M7i,264,687,Me,06/01/2016,11:00,83.0,20.0, ,2980.0,709,M7i
709#M7i,264,687,Me,06/01/2016,12:00,86.0,20.0, ,3294.0,709,M7i
709#M7i,264,687,Me,06/01/2016,13:00,87.0,19.0, ,3320.0,709,M7i
709#M7i,264,687,Me,06/01/2016,14:00,80.0,24.0, ,3305.0,709,M7i
709#M7i,264,687,Me,06/01/2016,15:00,77.0,24.0, ,3458.0,709,M7i
709#M7i,264,687,Me,06/01/2016,16:00,80.0,26.0, ,3806.0,709,M7i
709#M7i,264,687,Me,06/01/2016,17:00,81.0,29.0, ,4367.0,709,M7i
709#M7i,264,687,Me,06/01/2016,18:00,71.0,34.0, ,4457.0,709,M7i
709#M7i,264,687,Me,06/01/2016,19:00,85.0,20.0, ,3923.0,709,M7i
709#M7i,264,687,Me,06/01/2016,20:00,92.0,12.0, ,2719.0,709,M7i
709#M7i,264,687,Me,06/01/2016,21:00,96.0,7.0, ,1609.0,709,M7i
709#M7i,264,687,Me,06/01/2016,22:00,97.0,5.0, ,1122.0,709,M7i
709#M7i,264,687,Me,06/01/2016,23:00,97.0,3.0, ,678.0,709,M7i
709#M7i,264,687,Je,07/01/2016,00:00,99.0,2.0, ,513.0,709,M7i
709#M7i,264,687,Je,07/01/2016,01:00,102.0,1.0, ,305.0,709,M7i
709#M7i,264,687,Je,07/01/2016,02:00,103.0,1.0, ,218.0,709,M7i
709#M7i,264,687,Je,07/01/2016,04:00,98.0,1.0, ,250.0,709,M7i
